,Unnamed: 0,Frame,Context,Verb,Example,Language,Field,Speakers,Translation
16,17,,He ___ linoleum for parquet,cambiar,¡Todo lo que no les sirva se lo cambiamos por nuevo! Все сломанное ты можешь заменить на новое,Spanish,менять,,
17,18,,Over the last two years she ___ six cars.,cambiar,"Debo haber cambiado de escuela 10 veces. Я, должно быть, менял школы 10 раз",Spanish,менять,,
18,19,,"There have been requests to ___ the Cyrillic alphabet to the Latin alphabet, although it would be expensive and unprofitable",cambiar,Dile que cambie el tequila por bourbon. Скажи ему перейти с текилы на бурбон,Spanish,менять,,
19,22,,I find it great that you didn't ___ to circumstances and wasn't untrue to yourself in these difficult times.,cambiar,"Por lo tanto, cambian de acuerdo con las circunstancias. Следовательно, они меняются в соответствии с обстоятельствами",Spanish,менять,,
20,23,сменить на посту,One guard ___ another on the security post.,cambiar,"Cambia de la guardia de noche, Caporale. Смени ночного стража, капрал.",Spanish,менять,,
21,25,фальшивка (заменить один объект на другой с выгодой),"They say that the authentic Rubens' painting was replaced during the transportation.
He replaced gold coins with fake ones.",cambiar,Y quienquiera que sea te hizo irrumpir en mi apartamento y cambiar mis medicinas. И он заставил тебя вломиться в мою квартиру и подменить моё лекарство.,Spanish,менять,,
22,26,подменить суть (абср),Make sure that he is not going to ___ the matter.,cambiar,Pero esto no cambia la material en su esencia. Но это не меняет дело в своей сути,Spanish,менять,,
23,27,променять (негативная оценка),His sister ___ her successful career for being a housewife to no purpose.,cambiar,Necesito cambiar a mi familia por un poco de vodka. Я решила променять семью на водку.,Spanish,менять,,
24,28,,"It was Pete who asked you to spend weekends in the countryside, but you ___ him for somebody you barely knew.",cambiar,¿Por qué cambiar a Sharon y todo esto por otra noche en la ciudad? Почему я должен променять Шэрон и всё это на ещё одну ночь?,Spanish,менять,,
25,30,"обмен (равноценный), бартер",I ___ a sheep for a goat.,cambiar,"Quiero probar la máquina de hacer helados por la que cambié mi bicicleta. Я хочу попробовать мороженицу, на которую я обменял свой велик.",Spanish,менять,,
26,34,соотношение объектов до и после: 1 - много (разменять),She decided to live separately from his son and ___ her one-room apartment for two two-room apartments.,cambiar,Henri-Pierre me cambió por dos amantes del otro. Генри-Пьер обменял меня на двух чужих любовниц.,Spanish,менять,,
27,35,,A woman approached a cash desk and asked to ___ 1000 forints for her.,cambiar,"Quiere cambiar dos billetes de 50. Он хочет разменять две 50 долларовые банкноты.
",Spanish,менять,,
28,36,валюта,For a long time they couldn't find a bank with good enough rates to ___ their money,cambiar,Necesito cambiar dinero o estaré sin blanca. Мне нужно обменять деньги или я буду на дне,Spanish,менять,,
29,37,смена места (поменять местами два объекта),She noticed that he added something into her wine and discreetly ___ his wineglass with her's when he turned away.,cambiar,Alguien debe de haber cambiado la botella real de éste durante el juego. Кто-то подменил настоящую бутылку на эту во время игры,Spanish,менять,,
30,38,смена места (поменять местами 3+ объекта),The waiter ___ the vases around during the cleaning.,cambiar,¡Cambió los floreros! Вы поменяли вазы местами,Spanish,менять,,
31,78,Модифицировать,"If you work hard, you can ___ your life for the better.",modificar,"Los instructores intentan modificar las actitudes, a fin de inculcar una orientación más empresarial (Преподаватели пытаются изменить отношение учащихся, с тем чтобы развить у них предпринимательские способности)",Spanish,менять,,
32,79,частичная смена объекта,It was obvious that something must be ___ in the legislation.,modificar,"Indiquen si está previsto modificar esta disposición.(Просьба указать, предполагается ли изменить это положение закона)",Spanish,менять,,
33,80,,The chef was angry with the cook because he ___ the recipe even though the dish turned out to be excellent.,modificar,"Cualquiera puede hacer la bebida, modificar y mejorar la receta siempre que, además, registren sus propias recetas bajo la GNU General Public License.(Любой может приготовить этот напиток самостоятельно, а также изменять и улучшать его рецепт, так как он распространяется под лицензией GNU General Public License.)",Spanish,менять,,
34,82,смена порядка (очерёдности),The manager ___ the order of the performances because one of the actors was late.,modificar,"No obstante, se modificó el orden de los artículos. However, the order of the articles was changed.",Spanish,менять,,
35,83,перемена ситуации (измениться),"We don't know what will happen in half a year: a lot can ___, and we'll be having other plans.",modificar,"El Sr. Dipanda Mouelle quiere creer que mucho se modificará en esta esfera. (Г-н Дипанда Муэлле хотел бы надеяться на то, что многое в данной области изменится.)",Spanish,менять,,
36,171,причина замены (неисправность: другой объект того же класса),He ___ a burned-out lightbulb. ,reemplazar,En agosto de 2011 se acabó de reemplazar los paneles de vidrio con desperfectos en el techo del edificio del Tribunal. В августе 2011 года завершились строительные работы по замене неисправных стеклянных панелей на крыше здания Трибунала.,Spanish,менять,,
37,173,,He ___ linoleum for parquet,reemplazar,"Ese es un nuevo enfoque para abordar las cuestiones de derechos humanos, que reemplaza al pesado legado de politización. Таков новый подход к преодолению проблем в области прав человека, заменяющий тяжелое наследие политизации",Spanish,менять,,
38,175,,"There have been requests to ___ the Cyrillic alphabet to the Latin alphabet, although it would be expensive and unprofitable",reemplazar,"Young afirmaba que el alfabeto iba a reemplazar al alfabeto latino tradicional por ser el Deseret un alfabeto fonéticamente más adecuado para el idioma inglés. Янг публично заявлял, что алфавит должен был заменить традиционный латинский алфавит, поскольку он точнее отражал фонетику английского языка.",Spanish,менять,,
39,181,фальшивка (заменить один объект на другой с выгодой),"They say that the authentic Rubens' painting was replaced during the transportation.
He replaced gold coins with fake ones.",reemplazar,"Tampoco era aceptable que un gobierno se limitase a gobernar por plebiscitos o consultas acerca de su conducta, tratando de reemplazar así las elecciones periódicas auténticamente democráticas. Недопустимо также и то, чтобы правительство просто управляло путем проведения плебисцитов или консультаций, пытаясь тем самым подменить ими подлинно демократические периодические выборы.",Spanish,менять,,
40,183,променять (негативная оценка),His sister ___ her successful career for being a housewife to no purpose.,reemplazar,Se reemplaza este medio maravillosamente diverso por un monocultivo. Так вы заменяете эту прекрасную разнообразную среду монокультурой.,Spanish,менять,,
41,184,,"It was Pete who asked you to spend weekends in the countryside, but you ___ him for somebody you barely knew.",reemplazar,"Quiero decir, intento ser una buena amiga, y entonces él va y me reemplaza por la primera chica al azar que puede encontrar. Я имею в виду, я стараюсь быть хорошим другом, а потом он идет и заменяет меня первой случайной девушкой, которую он может найти.",Spanish,менять,,
42,249,причина замены (неисправность: другой объект того же класса),He ___ a burned-out lightbulb. ,substituir,"Substituir a un gobernador al que reeligieron hace tan sólo un año por Arnold Schwarzenegger debe de haber dado a los votantes californianos un placer inmenso, aunque con sensación de culpabilidad.(Замена губернатора, переизбранного всего лишь год назад, Арнольдом Шварценеггером доставила, должно быть, огромное - ну разве что чуть виноватое - удовольствие избирателям в Калифорнии.)",Spanish,менять,,
43,251,,He ___ linoleum for parquet,substituir,"Indica que en el párrafo 4, conviene substituir el número ""catorce"" por ""dieciséis"" y añadir Kenya y Zambia a la lista de los países que han intervenido en los debates.(Он отмечает, что в пункте 4 цифру 14 следует заменить цифрой 16 и в список стран, выступивших с заявлениями, следует внести Замбию и Кению.)",Spanish,менять,,
44,253,,"There have been requests to ___ the Cyrillic alphabet to the Latin alphabet, although it would be expensive and unprofitable",substituir,"Países como México, Venezuela y Colombia podrían substituir fácilmente a los inestables proveedores de Oriente Medio.
Мексика, Венесуэла и Колумбия могут легко заменить ненадежных поставщиков с Ближнего Востока.",Spanish,менять,,
45,259,фальшивка (заменить один объект на другой с выгодой),"They say that the authentic Rubens' painting was replaced during the transportation.
He replaced gold coins with fake ones.",substituir,"Deans esta planeando cortar la electricidad, substituir la espada, y seguir este camino para salir.(Дин планирует отрубить электричество, подменить меч и уйти этим путем.)",Spanish,менять,,
46,313,частичная смена объекта,It was obvious that something must be ___ in the legislation.,intercambiar, ,Spanish,менять,,
47,329,,He ___ linoleum for parquet,intercambiar,"Y tampoco tenemos ropa para intercambiarla por comida. И у нас не осталось одежды, чтобы обменять на еду.",Spanish,менять,,
48,331,,"There have been requests to ___ the Cyrillic alphabet to the Latin alphabet, although it would be expensive and unprofitable",intercambiar,"Necesitamos intercambiar otra vez así podemos intentarlo de nuevo. Нам нужно обратно поменяться телами, и тогда мы попытаемся снова.",Spanish,менять,,
49,337,фальшивка (заменить один объект на другой с выгодой),"They say that the authentic Rubens' painting was replaced during the transportation.
He replaced gold coins with fake ones.",intercambiar,Podemos intercambiar nombres falsos y antecedentes. Мы можем поменять фальшивые имена и бэкграунды.,Spanish,менять,,
50,341,выменять,"Salt was extremely rare in these parts, so it could be ___ for anything.",intercambiar,"Sabes cuántos panecillos puedo conseguir por eso. Да ты знаешь, сколько кусков хлеба можно выменять на эти сигареты?
",Spanish,менять,,
51,342,"обмен (равноценный), бартер",I ___ a sheep for a goat.,intercambiar,Mia cambió una vaca por otra. Мия обменяла одну корову на другую.,Spanish,менять,,
52,343,ритуальная штука (обладатель не меняется),They agreed to get in touch with each other and ___ numbers.,intercambiar,"Si quieren vernos después de su show, tal vez podemos intercambiar números. Если хочешь встретить нас после шоу, мы можем обменяться номерами.",Spanish,менять,,
53,344,,"We ___ the soup recipies (I gave her mine, she gave me hers).",intercambiar,El juez intercambió información conmigo sobre el caso. Судья обменялся со мной информацией по делу.,Spanish,менять,,
54,345,,The newlyweds ___ rings and kissed each other.,intercambiar,Tú y yo intercambiamos anillos frente a tus padres. Мы с тобой обменялись кольцами на глазах у твоих родителей,Spanish,менять,,
55,346,соотношение объектов до и после: 1 - много (разменять),She decided to live separately from his son and ___ her one-room apartment for two two-room apartments.,intercambiar,"Intercambio apartamento 3 habitaciones, capacidad para 6 personas, cerca del metro. Обмен квартир: 3 спальни, 6 спальных мест, около метро. ",Spanish,менять,,
56,348,валюта,For a long time they couldn't find a bank with good enough rates to ___ their money,intercambiar,"Esperemos que Dusarque quiera intercambiar su dinero por esto. (Будем надеяться, что Дюсарк готов обменять свои деньги на это.)",Spanish,менять,,
57,349,смена места (поменять местами два объекта),She noticed that he added something into her wine and discreetly ___ his wineglass with her's when he turned away.,intercambiar,¿Seguro que desea intercambiar los artistas y títulos? Вы действительно хотите поменять местами поля исполнителей и названий?,Spanish,менять,,
58,350,смена места (поменять местами 3+ объекта),The waiter ___ the vases around during the cleaning.,intercambiar,"Si intercambia las letras, dice. Если переставить буквы в вашем имени, то получится...",Spanish,менять,,
59,390,Модифицировать,"If you work hard, you can ___ your life for the better.", alterar,"Porque, Chris, no podemos alterar el pasado. (Потому, что Крис, мы не можем менять прошлое!)",Spanish,менять,,
60,392,,The chef was angry with the cook because he ___ the recipe even though the dish turned out to be excellent., alterar,"Bien, verdaderamente, nunca disparas la misma arma dos veces, porque cada vez que disparas un arma, alteras ligeramente sus características.(Верно, что никогда не выстрелишь из одного и того же оружия дважды, так как каждый раз, когда стреляешь из оружия, ты практически незаметно меняешь его характеристики.)",Spanish,менять,,
61,394,смена порядка (очерёдности),The manager ___ the order of the performances because one of the actors was late., alterar,No puedo alterar el orden del día. Я не могу нарушить очередность рассмотрения дел ,Spanish,менять,,
62,412,,I find it great that you didn't ___ to circumstances and wasn't untrue to yourself in these difficult times., alterar,"Es bueno que no te alteraste ante las circunstancias y te mantuviste firme. Хорошо что ты не изменился  под обстоятельствами  и ты сохранил твердость.

",Spanish,менять,,
63,468,Модифицировать,"If you work hard, you can ___ your life for the better.",transformar,la Eucaristía puede mostrar su capacidad de transformar la existencia y llenarla de sentido. Евхаристия может показать свою способность изменить жизнь и придать ей полный смысл.,Spanish,менять,,
64,469,частичная смена объекта,It was obvious that something must be ___ in the legislation.,transformar,"Se ha dado una gran batalla por transformar la legislación mexicana, hoy tenemos leyes aprobadas que castigan la violencia contra las mujeres. Была большая битва за изменение мексиканского законодательства, сегодня мы приняли законы, карающие насилие в отношении женщин.
",Spanish,менять,,
65,470,,The chef was angry with the cook because he ___ the recipe even though the dish turned out to be excellent.,transformar,Albóndigas de alcachofas o cómo transformar una receta de carne en una vegetal. Тефтели из артишоков или как изменить мясной рецепт на овощной.,Spanish,менять,,
66,474,Свойства/хар-р человека ,The city life ___ him.,transformar,"Su terrible calamidad le transformó de un niño mimado que era en un hombre reflexivo, valiente, y sereno. Это ужасное  бедствие его  превратило   из   мальчика  избалованного  в мужчину  вдумчивого",Spanish,менять,,
